date,schmidt.stability_mean,schmidt.stability_median,schmidt.stability_min,schmidt.stability_max,schmidt.stability_sd,schmidt.stability_mean_lag,schmidt.stability_median_lag,schmidt.stability_min_lag,schmidt.stability_max_lag,schmidt.stability_sd_lag,schmidt.stability_mean_diff,schmidt.stability_median_diff,schmidt.stability_min_diff,schmidt.stability_max_diff,schmidt.stability_sd_diff
2009-09-21,24.14860460329062,19.419493657807365,4.925103631956673,66.8751290667168,16.95130360745813,170.55882634872228,172.01872001026086,93.9429850657741,206.38979275563707,19.383705116940394,-146.41022174543167,-152.5992263524535,-89.01788143381742,-139.51466368892028,-2.432401509482265
2009-09-28,9.14218456917729,9.106716305544435,0.8171236908230758,22.420816358945874,4.798057278781275,24.14860460329062,19.419493657807365,4.925103631956673,66.8751290667168,16.95130360745813,-15.006420034113331,-10.31277735226293,-4.107979941133597,-44.454312707770924,-12.153246328676854
2009-10-05,3.4990245040347916,2.8721006652886922,0.06145073524792681,9.368790799892068,1.9041985843235196,9.14218456917729,9.106716305544435,0.8171236908230758,22.420816358945874,4.798057278781275,-5.643160065142499,-6.234615640255742,-0.755672955575149,-13.052025559053806,-2.893858694457756
2010-05-25,208.23945569644272,201.46953364642965,147.92048379193213,250.8944480587835,28.467143338646423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-04,288.543052782536,280.71371443644637,238.77872711802056,337.7848170728573,29.90118294329195,204.47790998746555,215.38289647432222,153.01155093634938,242.84221276995885,30.852971964092397,84.06514279507044,65.33081796212414,85.76717618167118,94.94260430289847,-0.9517890208004474
2010-06-10,126.50188419802316,127.21473136765673,95.97892174564774,159.58800599303714,12.800362354518006,281.15004703678375,277.23797846254627,253.76168032140234,325.0782313956822,18.120050236651835,-154.64816283876058,-150.02324709488954,-157.7827585757546,-165.49022540264508,-5.319687882133829
2010-06-15,165.45097523777824,167.78079939350965,124.71879023493834,208.32316513078592,24.803419522317597,190.96116384185117,191.33586381041806,143.51560532221896,235.4579861080901,15.741524923156955,-25.510188604072937,-23.555064416908408,-18.79681508728062,-27.134820977304173,9.061894599160642
2010-06-24,281.0301933260462,281.07538881516143,257.62393207726467,308.935643101136,10.85401552121604,121.71344107496391,123.58443529622618,50.39771052027092,159.22053709424827,20.15927731704669,159.31675225108228,157.49095351893527,207.22622155699375,149.71510600688774,-9.305261795830651
2010-07-01,218.43709808851457,219.97006412858806,176.69263317929094,265.13200989290493,20.33347633314377,281.0301933260462,281.07538881516143,257.62393207726467,308.935643101136,10.85401552121604,-62.5930952375316,-61.10532468657337,-80.93129889797373,-43.803633208231076,9.479460811927732
2010-07-08,416.5675183493304,407.08737937416106,355.9296684577472,486.01418020163544,31.727310179649606,218.43709808851457,219.97006412858806,176.69263317929094,265.13200989290493,20.33347633314377,198.1304202608158,187.117315245573,179.23703527845626,220.8821703087305,11.393833846505835
2010-07-15,411.4549474512943,407.76540079375604,359.9393767390849,479.0207686325428,27.010963985416712,416.5675183493304,407.08737937416106,355.9296684577472,486.01418020163544,31.727310179649606,-5.112570898036097,0.6780214195949839,4.00970828133768,-6.993411569092643,-4.716346194232894
2010-07-22,356.09801034457473,361.0275094997027,231.5572475327149,426.49132859360753,40.529876913170995,411.4549474512943,407.76540079375604,359.9393767390849,479.0207686325428,27.010963985416712,-55.356937106719556,-46.73789129405333,-128.38212920636997,-52.52944003893526,13.518912927754283
2010-07-29,93.0492871343593,103.81936173733015,0,196.60035249984176,56.22587351664674,356.09801034457473,361.0275094997027,231.5572475327149,426.49132859360753,40.529876913170995,-263.0487232102154,-257.20814776237256,-231.5572475327149,-229.89097609376577,15.695996603475749
2010-08-05,114.51271889915853,128.4283271065786,38.2604514221078,183.29728012376125,42.03722519830642,93.0492871343593,103.81936173733015,0,196.60035249984176,56.22587351664674,21.463431764799225,24.608965369248438,38.2604514221078,-13.303072376080507,-14.18864831834032
2010-08-12,121.60329566780769,117.78602189474213,68.42086842882581,206.30863299503858,30.297423578329635,114.51271889915853,128.4283271065786,38.2604514221078,183.29728012376125,42.03722519830642,7.090576768649157,-10.642305211836458,30.160417006718014,23.011352871277325,-11.739801619976788
2010-08-19,12.840235260796955,9.497887256007594,0,55.09517051408134,13.118130105857311,121.60329566780769,117.78602189474213,68.42086842882581,206.30863299503858,30.297423578329635,-108.76306040701073,-108.28813463873453,-68.42086842882581,-151.21346248095725,-17.179293472472324
2010-08-26,0.11652038090247556,0,0,5.1361241044530885,0.6202613461581713,12.840235260796955,9.497887256007594,0,55.09517051408134,13.118130105857311,-12.72371487989448,-9.497887256007594,0,-49.95904640962825,-12.49786875969914
2010-09-02,90.82782239855689,94.55899179890244,59.579057728517114,118.8136254729407,15.012044275690528,0.11652038090247556,0,0,5.1361241044530885,0.6202613461581713,90.71130201765442,94.55899179890244,59.579057728517114,113.67750136848761,14.391782929532356
2010-09-09,0,0,0,0,0,90.82782239855689,94.55899179890244,59.579057728517114,118.8136254729407,15.012044275690528,-90.82782239855689,-94.55899179890244,-59.579057728517114,-118.8136254729407,-15.012044275690528
2010-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-23,5.5154353723424805,0,0,23.24143631714346,7.784333734267684,0,0,0,0,0,5.5154353723424805,0,0,23.24143631714346,7.784333734267684
2010-09-30,3.134528413763869,2.451949101555705,0,11.804940228561572,3.0806008968077396,5.5154353723424805,0,0,23.24143631714346,7.784333734267684,-2.3809069585786116,2.451949101555705,0,-11.436496088581888,-4.7037328374599445
2010-10-07,0,0,0,0,0,3.134528413763869,2.451949101555705,0,11.804940228561572,3.0806008968077396,-3.134528413763869,-2.451949101555705,0,-11.804940228561572,-3.0806008968077396
2011-05-26,116.27017626901352,124.58211122462833,71.91591421669897,147.01952149071542,21.632149816080112,38.5372676396552,39.308077685454336,21.675313310394724,49.49570434349704,6.992898302126381,77.73290862935832,85.274033539174,50.24060090630424,97.52381714721838,14.639251513953731
2011-06-02,271.50285580936344,266.345061851784,194.29466155166887,336.5290187638341,34.315696025379985,116.27017626901352,124.58211122462833,71.91591421669897,147.01952149071542,21.632149816080112,155.23267954034992,141.76295062715567,122.3787473349699,189.50949727311865,12.683546209299873
2011-06-10,346.76207847002377,344.72704489758644,309.3791700584835,382.1911440696056,15.719104572204804,180.79212762121074,180.3038893057568,137.2674118529534,214.55471589867872,15.76450039582121,165.96995084881303,164.42315559182964,172.11175820553012,167.6364281709269,-0.04539582361640626
2011-06-16,260.0226867518048,259.5497106854183,235.45445755169143,287.9583328779104,9.4235767917209,299.36767752470445,297.07411885599186,248.85270196990035,356.1117038777887,28.792469273825343,-39.34499077289962,-37.524408170573565,-13.398244418208918,-68.15337099987835,-19.368892482104442
2011-06-23,344.7405904288301,342.7144113485126,322.3692165062802,367.6118744489952,10.063577575055227,260.0226867518048,259.5497106854183,235.45445755169143,287.9583328779104,9.4235767917209,84.71790367702528,83.16470066309432,86.91475895458879,79.65354157108482,0.6400007833343277
2011-06-30,359.6830539739969,364.24964378697075,320.02872634828236,380.97058338129,13.214791962436099,344.7405904288301,342.7144113485126,322.3692165062802,367.6118744489952,10.063577575055227,14.942463545166788,21.535232438458138,-2.3404901579978628,13.358708932294803,3.151214387380872
2011-07-07,479.5702244640637,484.62073289207717,405.5890289180233,509.4551170236743,22.61006611412014,359.6830539739969,364.24964378697075,320.02872634828236,380.97058338129,13.214791962436099,119.88717049006681,120.37108910510642,85.56030256974094,128.4845336423843,9.395274151684042
2011-07-14,512.8499509298912,512.1622092925179,443.5249648487721,566.9147641002704,27.020283695293365,479.5702244640637,484.62073289207717,405.5890289180233,509.4551170236743,22.61006611412014,33.27972646582748,27.54147640044073,37.93593593074877,57.45964707659613,4.4102175811732245
2011-07-21,580.0598656331741,574.0328894842585,543.402700550058,633.5990783995006,25.537804399341063,512.8499509298912,512.1622092925179,443.5249648487721,566.9147641002704,27.020283695293365,67.20991470328295,61.870680191740576,99.87773570128587,66.68431429923021,-1.4824792959523023
2011-07-28,553.3003228573051,554.6941870846592,527.7254472207998,581.7111810613407,14.432126724446507,580.0598656331741,574.0328894842585,543.402700550058,633.5990783995006,25.537804399341063,-26.759542775869022,-19.338702399599242,-15.677253329258178,-51.88789733815997,-11.105677674894556
2011-08-04,551.7817364387627,552.8410149799095,518.6289110790175,582.879757643605,20.784645223538586,553.3003228573051,554.6941870846592,527.7254472207998,581.7111810613407,14.432126724446507,-1.5185864185424407,-1.853172104749774,-9.09653614178228,1.1685765822643361,6.3525184990920796
2011-08-11,539.2803807259629,540.7396918565165,506.7996976535465,563.4065768086679,12.23769731763891,551.7817364387627,552.8410149799095,518.6289110790175,582.879757643605,20.784645223538586,-12.50135571279975,-12.101323123392945,-11.829213425470982,-19.473180834937125,-8.546947905899676
2011-08-18,434.7971119076985,438.5744846723884,387.8839456461138,459.6656175459348,13.664291453779478,539.2803807259629,540.7396918565165,506.7996976535465,563.4065768086679,12.23769731763891,-104.48326881826443,-102.16520718412812,-118.91575200743273,-103.74095926273304,1.4265941361405687
2011-08-25,401.92895492634125,402.96917847453034,359.3227171680461,442.6697516594445,18.985439628317923,434.7971119076985,438.5744846723884,387.8839456461138,459.6656175459348,13.664291453779478,-32.86815698135723,-35.605306197858056,-28.561228478067676,-16.99586588649032,5.321148174538445
2011-09-01,316.94499828158183,322.60196399777175,243.64166345834803,358.6627810131816,24.82432008196315,401.92895492634125,402.96917847453034,359.3227171680461,442.6697516594445,18.985439628317923,-84.98395664475942,-80.36721447675859,-115.68105370969806,-84.00697064626291,5.838880453645228
2011-09-08,253.70984258858493,253.42645665486833,214.45482959463496,284.67328153273945,14.888333516058394,316.94499828158183,322.60196399777175,243.64166345834803,358.6627810131816,24.82432008196315,-63.2351556929969,-69.17550734290342,-29.186833863713076,-73.98949948044213,-9.935986565904757
2011-09-15,219.75051156800754,223.75069737875683,122.61606846896623,282.1283723825703,31.273124732492967,253.70984258858493,253.42645665486833,214.45482959463496,284.67328153273945,14.888333516058394,-33.959331020577395,-29.675759276111506,-91.83876112566873,-2.5449091501691328,16.38479121643457
2011-09-22,56.382866352768396,54.1441060577628,27.695047546208087,92.03022758064179,13.237977171079368,219.75051156800754,223.75069737875683,122.61606846896623,282.1283723825703,31.273124732492967,-163.36764521523915,-169.60659132099403,-94.92102092275815,-190.09814480192853,-18.0351475614136
2011-09-29,125.73739780907583,129.39141791208243,54.56426607547261,217.2805007328178,38.49679488314198,56.382866352768396,54.1441060577628,27.695047546208087,92.03022758064179,13.237977171079368,69.35453145630743,75.24731185431963,26.869218529264522,125.25027315217602,25.258817712062612
2011-10-06,0.6473094592310596,0,0,9.807354667136353,1.3804852396443918,125.73739780907583,129.39141791208243,54.56426607547261,217.2805007328178,38.49679488314198,-125.09008834984478,-129.39141791208243,-54.56426607547261,-207.47314606568145,-37.11630964349759
2012-05-24,223.59643502104066,222.75077387097497,207.2526006999282,243.5464297885311,7.16936697965386,89.53377383212963,90.3623908126203,54.83176524969713,121.68032334052654,16.270112657398062,134.06266118891102,132.38838305835466,152.42083545023107,121.86610644800456,-9.100745677744202
2012-05-31,309.32989243497855,307.7380097503466,280.69155473002434,346.4027328795375,21.906913652341196,223.59643502104066,222.75077387097497,207.2526006999282,243.5464297885311,7.16936697965386,85.73345741393788,84.98723587937161,73.43895403009614,102.8563030910064,14.737546672687335
2012-06-07,207.75404431406994,207.5220167891164,179.67254226808436,233.4505108423512,13.320005810875271,309.32989243497855,307.7380097503466,280.69155473002434,346.4027328795375,21.906913652341196,-101.5758481209086,-100.21599296123017,-101.01901246193998,-112.95222203718629,-8.586907841465925
2012-06-14,300.57404961564686,300.16272281829845,255.91869836317352,334.9035747421498,21.61883610686399,207.75404431406994,207.5220167891164,179.67254226808436,233.4505108423512,13.320005810875271,92.82000530157691,92.64070602918204,76.24615609508916,101.45306389979856,8.29883029598872
2012-06-21,436.71434791512036,433.52213318982666,399.68230817438473,479.9186153596594,24.53844971919995,300.57404961564686,300.16272281829845,255.91869836317352,334.9035747421498,21.61883610686399,136.1402982994735,133.3594103715282,143.7636098112112,145.0150406175096,2.919613612335958
2012-06-28,346.8916297354447,343.6509018766058,315.1811159197232,388.75736956348214,16.46009892316014,436.71434791512036,433.52213318982666,399.68230817438473,479.9186153596594,24.53844971919995,-89.82271817967563,-89.87123131322085,-84.50119225466153,-91.16124579617724,-8.07835079603981
2012-07-05,465.78303490865034,464.79158736990894,417.1507760631883,498.6120957885241,20.37951032037365,346.8916297354447,343.6509018766058,315.1811159197232,388.75736956348214,16.46009892316014,118.89140517320561,121.14068549330312,101.96966014346509,109.85472622504193,3.919411397213512
2012-07-12,505.3992482118279,505.19243425593413,475.83276976377255,530.5179061041978,12.068429339932868,465.78303490865034,464.79158736990894,417.1507760631883,498.6120957885241,20.37951032037365,39.616213303177574,40.40084688602519,58.68199370058426,31.905810315673705,-8.311080980440783
