date,windsp_cumsum_1day,windsp_cumsum_2day,windsp_cumsum_3day,windsp_cumsum_5day,windsp_cumsum_7day,windsp_cumsum_10day,windsp_cumsum_14day,windsp_cumsum_1day_in,windsp_cumsum_2day_in,windsp_cumsum_3day_in,windsp_cumsum_1day_out,windsp_cumsum_2day_out
2012-08-23,59.65,113.9,182.5,288.26,434.1766666666667,620.6433333333333,872.1366666666667,NA,NA,NA,NA,NA
2012-08-30,106.28333333333333,199.51666666666668,302.1666666666667,426.89666666666665,543.08,725.58,977.2566666666667,106.28333333333333,NA,NA,NA,NA
2012-09-06,49.916666666666664,125.08333333333333,194.06666666666666,330.29,510.29,812.4566666666667,1053.37,64.76666666666667,NA,NA,NA,NA
2012-09-13,59.766666666666666,106.83333333333333,177.98333333333332,364.5333333333333,516.65,710.7166666666667,1026.94,NA,NA,NA,NA,NA
2012-09-20,77.16666666666667,191.31666666666666,321.4,457.65333333333336,633.3033333333333,811.2866666666666,1149.9533333333334,NA,NA,NA,NA,NA
2012-09-27,87.68333333333334,167.45,256.3666666666667,426.72333333333336,587.6733333333333,909.0733333333334,1220.9766666666667,91.75,NA,NA,NA,NA
2012-10-05,63.1,107.86666666666666,159.65,310.13666666666666,446.50333333333333,691.62,1024.41,63.1,NA,NA,NA,NA
2013-05-23,91.79666666666667,174.56666666666666,261.77166666666665,392.6685333333333,539.9513333333333,NA,NA,NA,NA,NA,85.67666666666666,180.90833333333333
2013-05-30,71.56666666666666,121.61999999999999,170.94166666666666,401.66166666666663,683.162,944.9336666666667,1223.1133333333332,71.56666666666666,NA,NA,NA,NA
2013-06-06,79.25666666666666,137.20333333333332,263.3883333333333,440.0004,558.6055333333334,729.5472,1241.7675333333334,NA,NA,NA,NA,NA
2013-06-13,58.10166666666667,159.60999999999999,265.7083333333333,403.8465333333333,613.7622666666666,877.1505999999999,1172.3678,101.24333333333333,NA,NA,NA,NA
2013-06-20,43.846666666666664,119.68833333333333,159.035,289.12513333333334,456.3259333333333,722.0342666666667,1070.0882,NA,NA,NA,NA,NA
2013-06-27,77.48333333333333,125.40666666666667,207.25666666666666,347.1122,446.9214666666667,605.9564666666666,903.2474,NA,NA,NA,NA,NA
2013-07-03,70.59833333333333,152.085,195.38333333333333,336.1723333333333,509.659,726.7406666666667,922.9438,NA,NA,NA,NA,NA
2013-07-11,83.25166666666667,177.285,257.7683333333333,381.49086666666665,543.2663333333334,759.0096666666667,1039.1003333333333,84.03666666666666,NA,NA,NA,NA
2013-07-18,69.595,140.47333333333333,210.99833333333333,333.97773333333333,432.84233333333333,690.6106666666667,976.1086666666666,74.08,NA,NA,NA,NA
2013-07-25,52.68833333333333,151.57333333333332,216.73499999999999,345.69,570.505,781.5033333333333,1003.3473333333333,96.16333333333333,NA,NA,NA,NA
2013-08-01,72.74166666666666,123.24833333333333,204.335,347.5516,485.2472,701.9822,1055.7522,NA,NA,NA,NA,NA
2013-08-08,79.145,151.98833333333332,202.695,399.16926666666666,580.7666666666667,785.1016666666667,1066.0138666666667,NA,NA,NA,NA,NA
2013-08-15,99.975,228.94166666666666,274.3066666666667,408.8118666666667,572.7778,775.4728,1153.5444666666667,99.975,228.94166666666666,NA,NA,NA
2013-08-22,78.985,147.12666666666667,202.59833333333333,331.97666666666663,448.52666666666664,722.8333333333333,1021.3044666666666,78.985,147.12666666666667,NA,NA,NA
