"date","schmidt_mean","schmidt_max","schmidt_min","schmidt_sd","schmidt_diff","weekly_schmidt_mean","weekly_schmidt_max","weekly_schmidt_min","Weekly_schmidt_sd","weekly_schmidt_diff"
2011-05-26,116.270176269014,71.915914216699,147.019521490715,21.6321498160801,116.270176269014,73.9109648144878,21.6753133103947,147.019521490715,27.3015109707203,73.9109648144878
2011-06-02,271.502855809363,194.294661551669,336.529018763834,34.31569602538,155.23267954035,228.904825264366,100.993969253552,336.529018763834,54.8361171317202,154.993860449879
2011-06-10,346.762078470024,309.379170058484,382.191144069606,15.7191045722048,75.2592226606603,236.964249800753,137.267411852953,382.191144069606,60.7495638010933,8.05942453638619
2011-06-16,260.022686751805,235.454457551691,287.95833287791,9.4235767917209,-86.7393917182189,264.718424822756,206.391133811735,345.149503185535,24.8973960953513,27.7541750220038
2011-06-23,344.74059042883,322.36921650628,367.611874448995,10.0635775750552,84.7179036770253,325.904084500681,263.444351451435,383.610761924661,28.5353584253652,61.185659677925
2011-06-30,359.683053973997,320.028726348282,380.97058338129,13.2147919624361,14.9424635451668,318.814657544146,262.718839276775,380.97058338129,29.6858611423024,-7.08942695653576
2011-07-07,479.570224464064,405.589028918023,509.455117023674,22.6100661141201,119.887170490067,423.318932505753,347.917606063412,516.347409825122,43.437622852535,104.504274961607
2011-07-14,512.849950929891,443.524964848772,566.91476410027,27.0202836952934,33.2797264658275,494.291382161731,425.417398721064,572.627251338626,30.2748314866161,70.9724496559783
2011-07-21,580.059865633174,543.402700550058,633.599078399501,25.5378043993411,67.2099147032829,543.102863938354,474.472868415051,633.599078399501,29.3556483036385,48.8114817766227
2011-07-28,553.300322857305,527.7254472208,581.711181061341,14.4321267244465,-26.759542775869,596.403895766465,527.276228469425,671.22022525255,35.3785038580542,53.3010318281109
2011-08-04,551.781736438763,518.628911079017,582.879757643605,20.7846452235386,-1.51858641854244,550.306129025162,486.307222617046,594.192042832501,19.2038621401344,-46.0977667413028
2011-08-11,539.280380725963,506.799697653547,563.406576808668,12.2376973176389,-12.5013557127998,565.072300920861,506.799697653547,610.393187042279,19.2602816003876,14.7661718956995
2011-08-18,434.797111907698,387.883945646114,459.665617545935,13.6642914537795,-104.483268818264,471.129532092716,387.883945646114,547.711104287921,44.6205513005583,-93.9427688281457
2011-08-25,401.928954926341,359.322717168046,442.669751659445,18.9854396283179,-32.8681569813572,441.341794447418,333.103880519758,509.474343463786,32.7858402498364,-29.7877376452973
2011-09-01,316.944998281582,243.641663458348,358.662781013182,24.8243200819632,-84.9839566447594,351.830068793245,173.520808090408,475.967647319247,64.0063392293289,-89.5117256541733
