"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
-2.9092232688712,-2.5368822714228,-1.28709530979052,-1.65701829436072,-1.90372891596921,-1.36149826406123,-1.33959457761352,-1.39434089536831,-1.65348687593633,-1.15817937134528,-0.928290388991948,-0.415876311950298,-1.14760112975701,-1.0490798660017,-0.70066400081961,-0.855264943771205,-1.35637355693816,NA,NA,NA,-2.70366395129946,-2.57676117022851,-1.77748817735222,-1.65181023189865,-1.37131864964211,-1.05461517925619,-0.446943281656986,-0.897547382663024,-0.111596533904902,-0.110965598885336,-0.0662923957086296,-0.228291216663637,0.136592584279483,0.155823155877199,-0.426534770259832,-0.336721244680544,-1.14869850241116,NA,NA,NA
-2.85889441350387,-2.52178599134105,-1.53869812613557,-1.81979300977876,-1.70632953366625,-1.61208975300584,-1.39968409632689,-1.5145828822726,-1.76572822668997,-1.06106014308607,-1.16107844389682,-0.420215527371847,-0.934206287785173,-0.763066141451935,-0.73356714721799,-1.10307167162705,-1.41014677172409,NA,NA,NA,-2.71533548243314,-2.60083462245845,-1.80114959760119,-1.80815803379405,-1.73920717238968,-0.58537875215581,-0.46289141780323,-0.849953545744569,-0.245544867741518,0.0464031323152941,0.269296468152758,0.00917284944394714,-0.96792219663639,-0.275649640160363,-0.489321912495833,-0.463404226419599,-1.37368960927734,NA,NA,NA
-2.94042569901433,-2.51123758772429,-1.29411129032749,-1.75923231240343,-1.9135154484873,-1.48750957281045,-0.902488918133191,-1.58167908473372,-1.59508781580201,-1.03016521410051,-0.791727243803812,-0.260132565486481,-1.24804192456379,-0.698900648618718,-0.669080118463378,-0.858285688928578,-0.88332778946752,NA,NA,NA,-2.72434806060333,-2.53110929297638,-1.77222115515111,-1.44770591175255,-1.59977359126081,-0.7861640584257,-0.299705667235577,-0.44279176022591,-0.082319332235677,-0.0858932042319463,0.249079222833148,-0.279730800433024,-0.990716698380004,-0.0477126207072145,-0.445737992185538,-0.547775234460899,-0.866825064368529,NA,NA,NA
-2.90516090618511,-2.51827445708672,-1.62775397506639,-1.5927514529147,-1.85794360971255,-1.26259935445769,-1.71025078731675,-1.31454978308818,-1.62478389304787,-1.17250096882405,-0.992378864168932,-0.446166445651611,-1.31243529002835,-0.929276938979732,-0.420249648769774,-1.00330055654445,-1.10950217776124,NA,NA,NA,-2.68954371602173,-2.5833227277114,-1.71707221288798,-1.92582286623081,-1.15459333670255,-1.00702490595598,-0.848271228082987,-0.442107889569589,-0.0933585078039584,-0.274217763120053,-0.104049943849027,-0.461604200255702,-0.537695354712935,-0.166890099319688,-0.756091054312838,-0.447512702229775,-1.47229168721298,NA,NA,NA
-2.86226625610654,-2.4960314916113,-1.08508398210876,-1.81863467456362,-1.70422027457149,-1.58503478545344,-0.892857277299392,-1.25239155037968,-1.82184382474427,-1.44599918630014,-1.09177962184997,-0.297381429447766,-1.16342359417554,-0.617651225629309,-0.67034988113422,-1.0761027590247,-1.40706813866934,NA,NA,NA,-2.67962398307056,-2.55646547085712,-1.59252429545415,-1.79747713226374,-1.66579001150401,-0.513954381469615,-0.814560091788587,-0.730990993292584,0.267133146682113,-0.19369881165551,-0.129925661798384,-0.175662689842939,0.103090624541728,0.133705988176282,-0.252369304237555,-0.598783516731585,-0.852609248283726,NA,NA,NA
-2.90848876651208,-2.54041586316295,-1.1259059267359,-1.57910186065163,-1.48259426998065,-1.56086203687181,-1.26464992321411,-1.50957610643554,-1.38612961816843,-0.987448501704716,-1.30938266247665,-0.909309505465039,-1.08513187541957,-0.984942339438975,-0.882226574481215,-1.10167049961159,-1.22097389140682,NA,NA,NA,-2.77133204113836,-2.59174611568868,-1.95293256876052,-1.06709028064635,-1.23585209383637,-0.932237739332999,-0.36067151942183,-0.724058434865209,-0.431814926134234,-0.149001711328833,0.00817579662964407,-0.483542610436432,-0.838304514749697,-0.217122823658803,-0.474833250997329,-0.33396580951051,-0.887564543310599,NA,NA,NA
-2.86258109904373,-2.50219103933979,-1.42248654093462,-1.84821786812061,-1.95708398726179,-1.54604498751905,-1.33441341465506,-1.69660802583055,-1.57607487570618,-1.3718317767479,-0.770285109123861,-0.704534424250955,-1.20677942233351,-0.5667509522392,-0.619089662571604,-1.04533581590613,-1.06277054114349,NA,NA,NA,-2.66857642176078,-2.66065267271955,-1.68840402006822,-1.5355895788586,-1.5002513685528,-0.895463465929064,-0.376952550581051,-0.912187664499289,-0.0926193095525663,-0.309194928065894,-0.00230706789480867,-0.287091910130381,-0.526131491361082,-0.195919165978721,-0.309943351127108,-0.409496841913005,-1.3877308529249,NA,NA,NA
-2.90495053811334,-2.51338260171931,-1.57182243335941,-1.2556690308767,-1.66367378528196,-1.30289785515854,-1.58584660447118,-1.4995654713851,-1.56456581476588,-1.16127969568604,-1.48299833381429,-0.84289558683936,-1.02263382445213,-0.942545207886408,-0.240502583150401,-1.1927640086133,-1.09475405343442,NA,NA,NA,-2.70966968988434,-2.58920752234467,-1.53165361056125,-1.15054298017432,-1.53728101064948,-0.653813881955418,-0.589846023844821,-0.710272800247576,-0.219468079419012,-0.286698190834589,0.255886538979835,-0.17052240735622,-0.366509336611418,0.175986352052693,-0.318513104564056,-0.63889809206976,-1.08738327925717,NA,NA,NA
-2.89380985764807,-2.51055504997578,-1.20964253108875,-1.62779598643928,-2.13254454161737,-1.52621201836809,-1.10353635412315,-1.24928887838233,-1.57752896095473,-1.31526419988782,-1.23951100634435,-0.607087703819236,-1.02911382367696,-0.734411630498726,-0.482858139942579,-1.19528421375097,-1.11747471684728,NA,NA,NA,-2.72586318759914,-2.56889108807016,-1.69074265215998,-1.96987574069369,-1.5587182068222,-0.964806095340285,-0.401210852295668,-0.762449263635201,-0.0730184764417803,-0.110390106813918,-0.164311173058283,-0.498624952829606,-0.600683971159562,-0.242693536952658,-0.704019063028428,-0.671633674600135,-0.854274830428119,NA,NA,NA
-2.91050245763658,-2.5133816417614,-1.45274807156458,-1.80583336153424,-1.72004376330053,-1.50312312139514,-1.22947145179017,-1.27400661742771,-1.55765821828551,-1.13638682276735,-0.730831277137682,-0.465828018244824,-1.08718123473311,-0.625936286239892,-0.339665295875743,-1.05268599256513,-1.33883070259962,NA,NA,NA,-2.69039025171279,-2.61753846986523,-1.53234410126369,-1.81085893147039,-1.27351376859678,-0.749371948226976,-0.711313818886549,-0.62637417607303,-0.0149982711041831,-0.365695825444355,-0.0329272778777655,-0.469958400550485,-0.326380047193349,-0.186504809104409,-0.28457523497561,-0.63591267845912,-0.608962807758363,NA,NA,NA
